Instance,Opt_Mode,Time(s)
Tree_Encoding_McGregor_10.cnf,opt,0.159
Tree_Encoding_McGregor_10.cnf,enum,0.161
Tree_Encoding_McGregor_10.cnf,optN,0.161
Tree_Encoding_McGregor_10.cnf,ignore,0.160
Tree_Encoding_McGregor_100.cnf,opt,5.464
Tree_Encoding_McGregor_100.cnf,enum,5.499
Tree_Encoding_McGregor_100.cnf,optN,5.944
Tree_Encoding_McGregor_100.cnf,ignore,4.948
Tree_Encoding_McGregor_20.cnf,opt,0.464
Tree_Encoding_McGregor_20.cnf,enum,0.464
Tree_Encoding_McGregor_20.cnf,optN,0.470
Tree_Encoding_McGregor_20.cnf,ignore,0.483
Tree_Encoding_McGregor_30.cnf,opt,1.531
Tree_Encoding_McGregor_30.cnf,enum,1.265
Tree_Encoding_McGregor_30.cnf,optN,1.272
Tree_Encoding_McGregor_30.cnf,ignore,1.357
Tree_Encoding_McGregor_40.cnf,opt,1.229
Tree_Encoding_McGregor_40.cnf,enum,1.138
Tree_Encoding_McGregor_40.cnf,optN,1.110
Tree_Encoding_McGregor_40.cnf,ignore,1.129
Tree_Encoding_McGregor_50.cnf,opt,1.520
Tree_Encoding_McGregor_50.cnf,enum,1.530
Tree_Encoding_McGregor_50.cnf,optN,1.471
Tree_Encoding_McGregor_50.cnf,ignore,1.476
Tree_Encoding_McGregor_60.cnf,opt,2.855
Tree_Encoding_McGregor_60.cnf,enum,2.864
Tree_Encoding_McGregor_60.cnf,optN,3.060
Tree_Encoding_McGregor_60.cnf,ignore,3.003
Tree_Encoding_McGregor_70.cnf,opt,1.348
Tree_Encoding_McGregor_70.cnf,enum,1.299
Tree_Encoding_McGregor_70.cnf,optN,1.277
Tree_Encoding_McGregor_70.cnf,ignore,1.264
Tree_Encoding_McGregor_80.cnf,opt,0.565
Tree_Encoding_McGregor_80.cnf,enum,0.563
Tree_Encoding_McGregor_80.cnf,optN,0.562
Tree_Encoding_McGregor_80.cnf,ignore,0.566
Tree_Encoding_McGregor_90.cnf,opt,35.757
Tree_Encoding_McGregor_90.cnf,enum,34.731
Tree_Encoding_McGregor_90.cnf,optN,33.275
Tree_Encoding_McGregor_90.cnf,ignore,32.448
