Instance,Pre_Mode,Time(s)
Naive_Encoding_McGregor.cnf,none,Error
Naive_Encoding_McGregor.cnf,basic,Error
Naive_Encoding_McGregor.cnf,occ,Error
Naive_Encoding_McGregor.cnf,probes,Error
Naive_Encoding_McGregor.cnf,trf,Error
Naive_Encoding_McGregor.cnf,full,Error
Sinz_Encoding_McGregor.cnf,none,Error
Sinz_Encoding_McGregor.cnf,basic,Error
Sinz_Encoding_McGregor.cnf,occ,Error
Sinz_Encoding_McGregor.cnf,probes,Error
Sinz_Encoding_McGregor.cnf,trf,Error
Sinz_Encoding_McGregor.cnf,full,Error
Tree_Encoding_McGregor.cnf,none,Error
Tree_Encoding_McGregor.cnf,basic,Error
Tree_Encoding_McGregor.cnf,occ,Error
Tree_Encoding_McGregor.cnf,probes,Error
Tree_Encoding_McGregor.cnf,trf,Error
Tree_Encoding_McGregor.cnf,full,Error
